,0,1,2,3,4,5,6,7,8,9
0,1810.8713614272706,-16302.034665188847,-16253.09250980009,-16320.497873440629,-16348.990050559178,-16349.604770991917,-16258.00888245717,-16380.194851228263,-16269.537508766583,-18362.145389147878
1,1481.2089254006391,-13297.868085788159,-13622.418473593058,-13675.798954212809,-13699.896113234874,-13699.12458591188,-13628.487080645227,-13721.94641910463,-13677.937736803256,-14978.382770715336
2,1212.2891458340746,-10854.522923422799,-11410.16328272728,-11459.733857198382,-11480.015569163927,-11478.46908343528,-11423.95411045522,-11496.241738794462,-11489.0008977654,-12226.3082057669
3,992.7741090739503,-8865.866775629256,-9551.595435228792,-9602.67119508213,-9619.816483005485,-9617.897722173733,-9575.809596587858,-9632.260007722392,-9642.673715308016,-9986.373966157294
4,813.4712253432173,-7246.138113475242,-7991.543916726804,-8046.3598520402265,-8061.024931783495,-8058.994903886507,-8026.499212675033,-8070.913152400386,-8087.22630429339,-8161.97989929968
5,666.921520623026,-5925.9796683809145,-6683.102004858301,-6742.046538898305,-6754.804990681764,-6752.828416190603,-6727.744532840415,-6762.863205954877,-6778.2644518601255,-6675.004485727012
6,547.0680842141616,-4849.255385052676,-5586.475924022507,-5648.911277951649,-5660.231881665825,-5658.408066590545,-5639.053969649559,-5666.885018046002,-5677.812386418018,-5462.218868647357
7,448.98884034467966,-3970.4939540682017,-4667.971120630045,-4732.765355919182,-4743.011428460172,-4741.395354165562,-4726.47092947308,-4748.511571522062,-4753.476362095446,-4472.406904908952
8,368.68098358262625,-3252.8338209521316,-3899.106140462525,-3964.9664050053107,-3974.4063341129117,-3973.023139782784,-3961.5219402332705,-3978.911179905976,-3977.692506480786,-3664.050237359252
9,302.88694519641837,-2666.369892257399,-3255.8427046082434,-3321.513440685747,-3330.336045517865,-3329.1910310335847,-3320.333194699924,-3333.9554104992494,-3327.057848516972,-3003.465939542299
10,248.9537734608775,-2186.8222892096405,-2717.9201449362413,-2782.2913006697477,-2790.6222537576427,-2789.7078275691565,-2782.888818201196,-2793.444238442739,-2781.7405901173743,-2463.3069767250936
11,204.7194201297629,-1794.4635142188,-2268.282547456708,-2330.4393059083363,-2338.356541063377,-2337.6570678393637,-2332.4083182447926,-2340.461090443677,-2324.964015217022,-2021.3537792289721
12,168.4207110051274,-1473.2531468931415,-1892.5875292729957,-1951.8233478852544,-1959.3704472435288,-1958.8656373219756,-1954.8242011250052,-1960.8353968432907,-1942.5575815366367,-1659.53959612906
13,138.6188066452543,-1210.1393475860839,-1578.7863782554186,-1634.5941911427635,-1641.7913966044803,-1641.4586715503071,-1638.3437331810594,-1642.694282334178,-1622.568449925683,-1363.1637493417225
14,114.13878208024204,-994.4945508058981,-1316.7662006224007,-1368.817720029123,-1375.6705917442368,-1375.4867224928557,-1373.0813581561752,-1376.0882809648094,-1354.9267836742129,-1120.2560409732082
15,94.02061349996356,-817.6591999139497,-1098.0456735133766,-1146.165276430573,-1152.6712210623407,-1152.6134435473073,-1150.750423877781,-1152.6786110465255,-1131.158459810782,-921.0628563701046
16,77.47938827468468,-672.5725427316,-915.5169369905647,-959.6542284831114,-965.8072088073054,-965.8539608495536,-964.4046793463458,-965.4757092888984,-944.1392802773366,-757.631328579559
17,63.8729786435033,-553.4736400741347,-763.2270511427648,-803.4305572454804,-809.224316414883,-809.3556985210168,-808.2215275211528,-808.6204952050148,-787.8852864186836,-623.4725858120347
18,52.67575988473362,-455.65904622914456,-636.1932707583185,-672.5866120330461,-678.0167296144066,-678.2147642984921,-677.3203028364007,-677.2012914523986,-657.3743201824506,-513.2888292063773
19,43.45722744038122,-375.28626910832895,-530.2471432303821,-563.0083164098253,-568.0733777589272,-568.3221225592127,-567.6099227784655,-567.100523039391,-548.394509918771,-422.75197211033804
20,35.86458760333386,-309.2142410642463,-441.9031120082079,-471.24704691482685,-475.94916423100466,-476.2347198129996,-475.66117128918756,-474.86630603937874,-457.41586881817386,-348.32396394242517
21,29.6085736068423,-254.87373485736583,-368.2479091421314,-394.41218896281595,-398.7570683908982,-399.06751312117757,-398.59963520581914,-397.60485302157144,-381.4816687165388,-287.11084060241876
22,24.451881762481293,-210.16202712688383,-306.8475499718244,-330.0810263429877,-334.0777346176166,-334.403009542634,-334.01595621709856,-332.8902987896612,-318.1166855082777,-236.74408417506092
23,20.19973745641863,-173.35721101144043,-255.6692059469134,-276.223164713493,-279.8837129425705,-280.2154754317162,-279.89059922789056,-278.6891112686571,-265.2498026949001,-195.28411288186416
24,16.692193761276997,-143.04844375693904,-213.0156338601355,-231.13714381915707,-234.47597573107547,-234.8074356379188,-234.53078991786418,-233.29671883084416,-221.14880703354066,-161.1417181336256
25,13.79784049861567,-118.07912692001447,-177.47018757191006,-193.39727295951155,-196.43072022253972,-196.75646895203795,-196.5176534438308,-195.28437356604178,-184.36551675205482,-133.01406721130402
26,11.408662279218163,-97.50059022363764,-147.85073767997474,-161.80904197757923,-164.5547895758177,-164.87062969705372,-164.66190429853856,-163.454593509619,-153.68965118368666,-109.83253596966173
27,9.435833150186966,-80.53431250647819,-123.17108131264419,-135.37172604322404,-137.8483155149952,-138.151096375736,-137.96670409436723,-136.80379673032047,-128.11008423416757,-90.72015672746377
28,7.806275233757049,-66.54108634341839,-102.60864365848404,-113.24702531904556,-115.47341222934531,-115.76087530002454,-115.59652772942616,-114.49096555736645,-106.78232628802141,-74.95688675319943
29,6.4598409564211465,-54.995834270542545,-85.47745987271955,-94.73276732235492,-96.72794097139898,-96.998577288595,-96.85106594522989,-95.81136759512736,-89.00125342405241,-61.95124215481357
30,5.347004589097452,-45.46702812621888,-71.20558501028816,-79.24085634012161,-81.02352378739538,-81.27644481463138,-81.1433495219679,-80.17451772829729,-74.17825242739265,-51.21711630802228
31,4.426970017394893,-37.59986005314675,-59.31621452753677,-66.27878553537072,-67.86711800543655,-68.1019404282631,-67.98141216938895,-67.08569718616843,-61.8220781177857,-42.35482386234963
32,3.666118876297162,-31.102473212613702,-49.41191210474468,-55.43413750788531,-56.84557468761106,-57.06231906525046,-56.952919663461,-56.13045616030589,-51.52282875896335,-35.035591004510714
33,3.0367371742923126,-25.734689488234906,-41.16143807399621,-46.36159146713959,-47.61269773217633,-47.81170050109131,-47.71228539595302,-46.9616189843726,-42.93853829294909,-28.98885819677882
34,2.5159699101789954,-21.298776229605565,-34.28875320215648,-38.77203270690085,-39.87839862964133,-40.06023666243345,-39.96987013567978,-39.28838842330737,-35.78396310139639,-23.991879606888475
35,2.084962445766564,-17.631879097065067,-28.56384123405097,-32.423425136742814,-33.39960749384046,-33.56503423192831,-33.482928869987276,-32.867210626540796,-29.821207915518237,-19.86119918832493
36,1.7281549389337272,-14.59981709522333,-23.795051389448858,-27.113162233678594,-27.97265596745811,-28.122548044355355,-28.04802213541923,-27.49411681568968,-24.85189211288087,-16.44566111059366
37,1.4327022871513861,-12.09199197099852,-19.82271059535821,-22.67165760961366,-23.42689366759225,-23.562206901453123,-23.494654961265443,-22.99830350388636,-20.7106054646046,-13.620675408511353
38,1.1879970431571394,-10.017209759021263,-16.5137960467081,-18.956974857730703,-19.619338436959946,-19.741072079936743,-19.67994486719661,-19.236751404618715,-17.259442739002424,-11.283511085284152
39,0.9852768538903831,-8.300249367769666,-13.757492937608117,-15.850328626142463,-16.430193011447386,-16.53936118587265,-16.48415247371401,-16.089715373009714,-14.383440555521991,-9.349430700836802
40,0.8173013128271975,-6.879043317154412,-11.461490924089519,-13.252315962642793,-13.759087819375313,-13.8566971360296,-13.806935205201423,-13.456944728246471,-11.986768484783477,-7.748514510378207
41,0.6780858438584687,-5.702360359314547,-9.548896943019383,-11.079759713058245,-11.521932341834946,-11.608964775043159,-11.564207131036255,-11.254515966940382,-9.98955043562971,-6.423049948977479
42,0.562682464984448,-4.727899788716481,-7.955662161976939,-9.263064836717566,-9.648276498546316,-9.725676679941861,-9.685506905406603,-9.412178892951744,-8.325212565950864,-5.325384867996622
43,0.46699910428014846,-3.920723625335075,-6.628437697766264,-7.744004512911081,-8.079099476173148,-8.147765658672665,-8.111791621972339,-7.87113314600264,-6.938270902847755,-4.416161375980321
44,0.38765063356487417,-3.2519662248875143,-5.522787845582409,-6.473866344781835,-6.764956785417846,-6.825734817583695,-6.793587690427431,-6.582165501006507,-5.782486070912167,-3.662862196089252
45,0.321836007800016,-2.6977717917005073,-4.601701352168128,-5.41190023575591,-5.664427538010752,-5.718107273948695,-5.6894409833328945,-5.504089545029984,-4.819324438529824,-3.0386137538974665
46,0.26723689995040445,-2.2384191966644096,-3.8343511195792876,-4.5240189659367935,-4.742813325526671,-4.790126975037932,-4.7646178410792235,-4.602438765371183,-4.016674967925349,-2.521200264380774
