,0
0,7403728.03583513
1,5141434.55568358
2,3571947.30608855
3,2482539.67390954
4,1726008.82232454
5,1200417.25025092
6,835125.865600783
7,581154.250230210
8,404520.961374785
9,281638.534433747
10,196126.692583511
11,136605.386461249
12,95165.3864806342
13,66307.7759577194
14,46208.1819241067
15,32206.0509776333
16,22449.9757106591
17,15651.2884293748
18,10912.8075079915
19,7609.77375681587
20,5307.04530171329
21,3701.49223927246
22,2581.91128119640
23,1801.12493793601
24,1256.55710106458
25,876.706976401288
26,611.728438006495
27,426.867528403808
28,297.890189564907
29,207.896136510463
30,145.098318699342
31,101.275124767791
32,70.6913745192398
33,49.3460238086719
34,34.4475975359947
35,24.0483760343252
36,16.7892647022805
37,11.7218410045266
38,8.18422154658496
39,5.71446464170580
40,3.99015355601465
41,2.78624217227791
42,1.94564073349561
43,1.35868992234754
44,0.948836506442311
45,0.662636244875990
46,0.462776427673624
47,0.323205698564756
48,0.225734557413487
49,0.157662313825455
50,0.110120484919402
51,0.0769162841680703
52,0.0537252002905826
53,0.0375272710571274
54,0.0262134848294793
55,0.0183109564235575
56,0.0127910284408909
57,0.00893527151928939
58,0.00624191138427457
59,0.00436048415211031
60,0.00304620285730512
61,0.00212808839045781
62,0.00148671247236996
63,0.00103865316065740
64,0.000725638167097789
65,0.000506962078605805
66,0.000354190089623971
67,0.000247458687210153
68,0.000172891712601611
69,0.000120795465429029
70,8.43979482534712e-5
71,5.89681868172935e-5
72,4.12010343826474e-5
73,2.87874213079841e-5
74,2.01141438658337e-5
75,1.40541419314889e-5
76,9.81998827872114e-6
77,6.86153553459835e-6
78,4.79441081553510e-6
79,3.35006029946363e-6
80,2.34084864013571e-6
81,1.63567589018338e-6
82,1.14294219878452e-6
83,7.98645905385282e-7
84,5.58068039937488e-7
85,3.89962469851063e-7
86,2.72496641381125e-7
87,1.90415405431378e-7
88,1.33059383183744e-7
89,9.29803848709406e-8
90,6.49739844140352e-8
91,4.54035602111257e-8
92,3.17279849148775e-8
93,2.21716072240978e-8
94,1.54936557460742e-8
95,1.08271115250404e-8
96,7.56612046127826e-9
97,5.28732233132113e-9
98,3.69487876192021e-9
99,2.58206078911394e-9
